Date,cesi_global,cesi_g10,cesi_united_states,cesi_eurozone,cesi_asia_pacific,cesi_latin_america,cesi_emerging_markets,cesi_bric
2002-07-30,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-07-31,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-01,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-02,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-05,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-06,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-07,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-08,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-09,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-12,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-13,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-14,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-15,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-16,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-19,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-20,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-21,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-22,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-23,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-26,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-27,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-28,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-29,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-08-30,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-09-03,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-09-04,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
2002-09-05,41.7,57.1,75.6,53.7,38.3,-38.8,18.6,11.85
